# generated, 2026-09-04T03:29:03+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
4,431175.941375,431175.941375,6.9738,-2.6475,134.6813,43.6069,-13.3713,77.9686,0.671010,-0.159502,-0.724089,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,,1.4619,42.2259,4.5142,0.9722,,,2.8625,1.0838,3.9463
5,431175.968503,431175.968503,6.9485,-2.5499,134.6439,43.5643,-12.7456,77.9686,0.672186,-0.152045,-0.724602,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.433,1.4619,42.2259,4.4760,0.9111,,,2.5570,0.2772,2.8342
6,431175.988784,431175.988784,6.7268,-2.6044,134.8125,42.6981,-8.7774,77.9686,0.670194,-0.103481,-0.734937,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.847,1.4619,42.2259,4.9002,0.9611,,,2.4067,0.2109,2.6175
7,431176.023397,431176.023397,7.0209,-2.6005,134.7016,43.5101,-14.1447,77.9686,0.667608,-0.168246,-0.725253,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,3.756,1.4619,42.2259,4.4732,0.9278,,,2.3984,0.3816,2.7800
8,431176.048650,431176.048650,6.9316,-2.7620,134.7054,43.8100,-13.7398,77.9686,0.672459,-0.164423,-0.721640,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.410,1.4619,42.2259,4.4240,1.0000,,,2.4035,0.3765,2.7800
9,431176.083658,431176.083658,6.9639,-2.7649,134.7274,43.8139,-14.1617,77.9686,0.671278,-0.169382,-0.721592,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.292,1.4619,42.2259,4.4830,1.0000,,,2.4663,0.4519,2.9182
10,431176.105791,431176.105791,6.9310,-2.7825,134.7566,43.8210,-14.3457,77.9686,0.670817,-0.171559,-0.721507,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.128,1.4619,42.2259,4.5321,1.0000,,,2.3894,0.4523,2.8417
11,431176.135065,431176.135065,6.9388,-2.6776,134.7054,43.6443,-13.1431,77.9686,0.672100,-0.156936,-0.723638,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.850,1.4619,42.2259,4.4559,0.9778,,,2.4867,0.4007,2.8875
12,431176.164358,431176.164358,6.8758,-2.5183,134.4927,43.6680,-12.6589,77.9686,0.673694,-0.151316,-0.723353,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.335,1.4619,42.2259,4.8626,0.9111,,,2.3949,0.2774,2.6723
13,431176.189233,431176.189233,6.7828,-2.6033,134.6071,43.9072,-10.9912,77.9686,0.680771,-0.132220,-0.720464,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.179,1.4619,42.2259,4.7080,0.9444,,,2.3943,0.2777,2.6720
14,431176.217852,431176.217852,6.9922,-2.6648,134.6940,43.4972,-13.2026,77.9686,0.670126,-0.157209,-0.725408,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.582,1.4619,42.2259,4.4328,0.9722,,,2.4872,0.3998,2.8870
15,431176.245015,431176.245015,6.8258,-2.5916,134.7243,42.9453,-9.0126,77.9686,0.672888,-0.106727,-0.732005,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.922,1.4619,42.2259,4.7376,0.9389,,,2.4729,0.2980,2.7709
16,431176.270155,431176.270155,6.9374,-2.7113,134.8394,43.8511,-13.2254,77.9686,0.674412,-0.158498,-0.721143,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,3.032,1.4619,42.2259,4.4529,1.0000,,,2.5880,0.3586,2.9466
17,431176.296427,431176.296427,6.8889,-2.6111,134.6691,43.7333,-12.5181,77.9686,0.674868,-0.149839,-0.722566,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.503,1.4619,42.2259,4.3564,0.9333,,,2.3994,0.2782,2.6776
18,431176.322278,431176.322278,7.2380,-2.5484,134.5159,42.0720,-16.4685,77.9686,0.642575,-0.189955,-0.742303,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,3.160,1.4619,42.2259,4.8451,0.9278,,,2.8151,0.3669,3.1820
19,431176.352799,431176.352799,6.9496,-2.6733,134.7568,43.6715,-13.1417,77.9686,0.672438,-0.156997,-0.723311,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.771,1.4619,42.2259,4.3014,0.9833,,,2.6394,0.2657,2.9051
20,431176.379917,431176.379917,6.9291,-2.5477,134.6640,43.4398,-12.8326,77.9686,0.670418,-0.152716,-0.726098,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.315,1.4619,42.2259,4.3540,0.9167,,,2.4885,0.2626,2.7511
21,431176.407530,431176.407530,6.9138,-2.6463,134.6658,44.4712,-12.9780,77.9686,0.682656,-0.157328,-0.713602,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.036,1.4619,42.2259,4.4343,0.9778,,,2.4802,0.3374,2.8176
22,431176.436138,431176.436138,6.9453,-2.6498,134.6905,43.3606,-12.3135,77.9686,0.670793,-0.146422,-0.727047,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.202,1.4619,42.2259,4.3233,0.9333,,,2.4593,0.3508,2.8101
23,431176.460095,431176.460095,6.9745,-2.6238,134.6770,43.4549,-13.0486,77.9686,0.670024,-0.155285,-0.725916,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.514,1.4619,42.2259,4.2957,0.9333,,,2.5382,0.4155,2.9537
24,431176.480637,431176.480637,6.9160,-2.6087,134.6513,44.1436,-13.7460,77.9686,0.676512,-0.165491,-0.717596,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.841,1.4619,42.2259,4.4134,0.9556,,,2.5263,0.3505,2.8769
25,431176.516417,431176.516417,6.9755,-2.6579,134.6923,43.5501,-13.2526,77.9686,0.670640,-0.157946,-0.724772,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.685,1.4619,42.2259,4.3547,0.9722,,,2.9059,0.3917,3.2975
26,431176.539845,431176.539845,6.7980,-2.5482,134.5930,43.1968,-10.7060,77.9686,0.672592,-0.127160,-0.729007,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.784,1.4619,42.2259,4.7349,0.9167,,,2.5583,0.2889,2.8473
27,431176.568069,431176.568069,6.9562,-2.7184,134.7232,43.7014,-14.0880,77.9686,0.670120,-0.168174,-0.722950,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.380,1.4619,42.2259,4.3907,1.0000,,,2.5327,0.3554,2.8880
28,431176.595960,431176.595960,7.0095,-2.5213,134.5754,44.1239,-13.9513,77.9686,0.675674,-0.167854,-0.717836,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.433,1.4619,42.2259,4.5889,0.9111,,,2.5773,0.4019,2.9792
