Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.00350963,0.00448622,0.00802637,0.00503555
0.00100000,0.00701926,0.01196326,0.01504563,0.00753807
0.00200000,0.01001007,0.00546281,0.01052889,0.00552385
0.00300000,0.00250252,0.00546281,0.00198370,0.00906400
0.00400000,0.00799585,0.00695822,0.00802637,0.00653096
0.00500000,0.00299081,0.00448622,-0.00302133,0.00503555
0.00600000,0.00500504,0.00546281,0.00601215,0.00503555
0.00700000,0.00549333,0.00646992,0.00802637,0.00552385
0.00800000,0.00701926,0.00497452,0.00903348,0.00451674
0.00900000,0.00851466,0.00646992,0.01052889,0.00451674
0.01000000,0.00500504,0.00448622,0.00802637,0.00604266
0.01100000,0.00399792,0.00546281,0.00802637,0.00451674
0.01200000,0.00500504,0.00994903,0.00802637,0.00604266
0.01300000,0.00448622,0.00796533,0.01052889,0.00552385
0.01400000,0.00601215,0.00448622,0.00851466,0.00552385
0.01500000,0.00549333,0.00497452,0.00903348,0.00955229
0.01600000,0.00601215,0.00646992,0.00952177,0.00552385
0.01700000,0.00549333,0.00598163,0.00851466,0.00604266
0.01800000,0.00601215,0.00946074,0.01403851,0.02868740
0.01900000,0.01403851,0.00994903,0.00750755,0.01510666
0.02000000,0.00750755,0.00497452,0.00601215,0.00451674
0.02100000,0.00097659,0.00448622,-0.00503555,0.00350963
0.02200000,0.00549333,0.01095614,0.00451674,0.00402844
0.02300000,0.00701926,0.00347911,0.00399792,0.00503555
0.02400000,0.00601215,0.00695822,0.00903348,0.00451674
0.02500000,0.00500504,0.00497452,0.00851466,0.00503555
0.02600000,0.00448622,0.00646992,0.00802637,0.00704978
0.02700000,0.00701926,0.00396741,0.01504563,0.00653096
0.02800000,0.00399792,0.00598163,0.00701926,0.00451674
0.02900000,0.00601215,0.00497452,0.01355022,0.00552385
0.03000000,0.00601215,0.00598163,0.00851466,0.00451674
0.03100000,0.00399792,0.00598163,0.00601215,0.00302133
0.03200000,0.00448622,0.00497452,0.01004059,0.00552385
0.03300000,0.00799585,0.00796533,0.00701926,0.00402844
0.03400000,0.00650044,0.00546281,0.00903348,0.00451674
0.03500000,0.01702933,0.00796533,0.01657155,0.00552385
0.03600000,0.00399792,0.01394696,0.00451674,0.00604266
0.03700000,0.00350963,0.01245155,0.00350963,0.00704978
0.03800000,0.00097659,0.00497452,0.00048830,0.00302133
0.03900000,0.00399792,0.00546281,0.00701926,0.00704978
0.04000000,0.00601215,0.00695822,0.00601215,0.00451674
0.04100000,0.00650044,0.00546281,0.00851466,0.00653096
0.04200000,0.00350963,0.00448622,0.00851466,0.00402844
0.04300000,0.00549333,0.00497452,0.01004059,0.00653096
0.04400000,0.00601215,0.00994903,0.00903348,0.00451674
0.04500000,0.00650044,0.00448622,0.01303140,0.00451674
0.04600000,0.00448622,0.00347911,0.00802637,0.01007111
0.04700000,0.00601215,0.00695822,0.00650044,0.00402844
0.04800000,0.00448622,0.00646992,0.00802637,0.00402844
0.04900000,0.00750755,0.00546281,0.00701926,0.00753807
0.05000000,0.00549333,0.00497452,0.00952177,0.00350963
0.05100000,0.00299081,0.00598163,0.00903348,0.00653096
0.05200000,0.02154607,0.00695822,0.01004059,0.02316355
0.05300000,0.00299081,0.00396741,0.00399792,0.00704978
0.05400000,0.00299081,0.00994903,0.00250252,0.01812799
0.05500000,0.00198370,0.00448622,0.00451674,0.00552385
0.05600000,0.00399792,0.00396741,0.00802637,0.00653096
0.05700000,0.00500504,0.00448622,0.00851466,0.00503555
0.05800000,0.00952177,0.00448622,0.00802637,0.00503555
0.05900000,0.00448622,0.00396741,0.00851466,0.00552385
0.06000000,0.01101718,0.00897244,0.01657155,0.00753807
0.06100000,0.00448622,0.00347911,0.00701926,0.00805689
0.06200000,0.02203436,0.01495407,0.01705985,0.00753807
0.06300000,0.00750755,0.00497452,0.00701926,0.00552385
0.06400000,0.00799585,0.00695822,0.00750755,0.00854518
0.06500000,0.00500504,0.00347911,0.00701926,0.00704978
0.06600000,0.00399792,0.00448622,0.00903348,0.00350963
0.06700000,0.00701926,0.00747703,0.01403851,0.00604266
0.06800000,0.00448622,0.00546281,0.00802637,0.00653096
0.06900000,0.00549333,0.00497452,0.00750755,0.01409955
0.07000000,0.00399792,0.00546281,0.00601215,0.00704978
0.07100000,0.00250252,0.00747703,-0.00354015,0.00552385
0.07200000,0.00701926,0.00497452,0.00500504,0.00805689
0.07300000,0.00299081,0.00598163,0.00552385,0.00402844
0.07400000,0.00851466,0.00695822,0.00802637,0.00753807
0.07500000,0.00650044,0.00598163,0.01052889,0.00503555
0.07600000,0.00549333,0.00546281,0.00851466,0.00552385
0.07700000,0.00650044,0.00497452,0.00903348,0.00350963
0.07800000,0.00500504,0.00497452,0.01153600,0.00854518
0.07900000,0.00500504,0.00448622,0.01052889,0.00704978
0.08000000,0.00350963,0.00448622,0.00802637,0.00503555
0.08100000,0.00299081,0.00695822,0.00903348,0.00503555
0.08200000,0.00500504,0.00646992,0.00750755,0.00653096
0.08300000,0.00500504,0.00448622,0.00750755,0.00552385
0.08400000,0.00851466,0.01196326,0.01705985,0.00451674
0.08500000,0.00701926,0.00396741,0.00750755,0.00653096
0.08600000,0.00399792,0.00347911,0.00750755,0.00552385
0.08700000,0.00549333,0.00747703,0.00097659,0.00552385
0.08800000,0.00149541,0.00448622,-0.00704978,0.00350963
0.08900000,0.00299081,0.01495407,0.00350963,0.00653096
