# ramp: 2->210Hz/30s/EASE/k2
# trim: resultant weak direction 0 deg (coil A), strength 0.00 (off)
t,state,f_hz,x_mm,y_mm,z_mm,tilt_deg,tilt_az_deg,acc_tilt_x,acc_tilt_y,cmd_tilt_x,cmd_tilt_y,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
0.0000,2,,10.000,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4641,2,,9.999,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4665,2,,9.997,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4683,2,,9.994,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4704,2,,9.990,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4724,2,,9.984,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4744,2,,9.977,0.000,9.999,,,,,0.0000,0.0000,,,0,,0,,,,
1.4764,2,,9.968,0.000,9.998,,,,,0.0000,0.0000,,,0,,0,,,,
1.4784,2,,9.959,0.000,9.997,,,,,0.0000,0.0000,,,0,,0,,,,
1.4804,2,,9.948,0.000,9.994,,,,,0.0000,0.0000,,,0,,0,,,,
1.4825,2,,9.935,0.000,9.991,,,,,0.0000,0.0000,,,0,,0,,,,
1.4844,2,,9.922,0.000,9.987,,,,,0.0000,0.0000,,,0,,0,,,,
1.4864,2,,9.907,0.000,9.982,,,,,0.0000,0.0000,,,0,,0,,,,
1.4884,2,,9.891,0.000,9.975,,,,,0.0000,0.0000,,,0,,0,,,,
1.4904,2,,9.874,0.000,9.968,,,,,0.0000,0.0000,,,0,,0,,,,
1.4924,2,,9.856,0.000,9.959,,,,,0.0000,0.0000,,,0,,0,,,,
1.4944,2,,9.836,0.000,9.948,,,,,0.0000,0.0000,,,0,,0,,,,
1.4964,2,,9.816,0.000,9.937,,,,,0.0000,0.0000,,,0,,0,,,,
1.4984,2,,9.794,0.000,9.924,,,,,0.0000,0.0000,,,0,,0,,,,
1.5004,2,,9.771,0.000,9.910,,,,,0.0000,0.0000,,,0,,0,,,,
1.5024,2,,9.747,0.000,9.895,,,,,0.0000,0.0000,,,0,,0,,,,
1.5044,2,,9.722,0.000,9.880,,,,,0.0000,0.0000,,,0,,0,,,,
1.5064,2,,9.695,0.000,9.863,,,,,0.0000,0.0000,,,0,,0,,,,
1.5084,2,,9.668,0.000,9.846,,,,,0.0000,0.0000,,,0,,0,,,,
1.5104,2,,9.639,0.000,9.829,,,,,0.0000,0.0000,,,0,,0,,,,
1.5124,2,,9.610,0.000,9.812,,,,,0.0000,0.0000,,,0,,0,,,,
1.5144,2,,9.579,0.000,9.794,,,,,0.0000,0.0000,,,0,,0,,,,
1.5164,2,,9.548,0.000,9.777,,,,,0.0000,0.0000,,,0,,0,,,,
1.5184,2,,9.515,0.000,9.759,,,,,0.0000,0.0000,,,0,,0,,,,
1.5202,2,,9.482,0.000,9.742,,,,,0.0000,0.0000,,,0,,0,,,,
1.5224,2,,9.448,0.000,9.724,,,,,0.0000,0.0000,,,0,,0,,,,
1.5244,2,,9.412,0.000,9.706,,,,,0.0000,0.0000,,,0,,0,,,,
1.5264,2,,9.376,0.000,9.688,,,,,0.0000,0.0000,,,0,,0,,,,
1.5284,2,,9.339,0.000,9.670,,,,,0.0000,0.0000,,,0,,0,,,,
1.5304,2,,9.301,0.000,9.652,,,,,0.0000,0.0000,,,0,,0,,,,
1.5326,2,,9.262,0.000,9.632,,,,,0.0000,0.0000,,,0,,0,,,,
1.5344,2,,9.223,0.000,9.613,,,,,0.0000,0.0000,,,0,,0,,,,
1.5364,2,,9.182,0.000,9.592,,,,,0.0000,0.0000,,,0,,0,,,,
1.5384,2,,9.141,0.000,9.571,,,,,0.0000,0.0000,,,0,,0,,,,
1.5404,2,,9.099,0.000,9.548,,,,,0.0000,0.0000,,,0,,0,,,,
1.5424,2,,9.056,0.000,9.525,,,,,0.0000,0.0000,,,0,,0,,,,
1.5444,2,,9.013,0.000,9.500,,,,,0.0000,0.0000,,,0,,0,,,,
